Sheet,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
NRFI Top 10,Rank,Matchup,Starting Pitchers,Confidence Score,Why,,,,,,,
NRFI Top 10,1,DET @ NYM,Jack Flaherty vs Freddy Peralta,66%,"Best blend of arms + environment. Citi Field is run-suppressing, 59°F helps pitchers, and Mets top two before Soto are not scary run creators. Peralta’s fastball/slider profile matches well vs a young DET order.",,,,,,,
NRFI Top 10,2,ARI @ TEX,Zac Gallen vs MacKenzie Gore,65%,"Roof removes weather variance. Gore gets a soft current top three: Pederson/Nimmo/Seager all modest wOBA form. ARI has Carroll risk, but Marte/Perdomo are not major first-inning damage signals.",,,,,,,
NRFI Top 10,3,SEA @ HOU,Bryan Woo vs Tatsuya Imai,62%,"Closed-roof environment. Woo’s command/low-walk profile is ideal for NRFI, though Yordan Alvarez is the clear HR red flag. SEA top three are good but not overwhelming.",,,,,,,
NRFI Top 10,4,COL @ PIT,Michael Lorenzen vs Paul Skenes,61%,"Skenes is the anchor; PNC Park suppresses HR carry. Downgrade because Lorenzen must survive Cruz/Lowe/Reynolds, and PIT’s left-handed top-order power is live.",,,,,,,
NRFI Top 10,5,SF @ LAD,Adrian Houser vs Yoshinobu Yamamoto,58%,"Yamamoto should control SF’s contact-heavy top. Dodger Stadium/cooler weather helps. Risk is obvious: Houser must navigate Ohtani/Freeman/Betts, even if their current top-order form is muted.",,,,,,,
NRFI Top 10,6,LAA @ CLE,Walbert Urena vs Slade Cecconi,56%,"65°F and light wind. Angels leadoff/top-three profile is uneven after Trout. CLE has Kwan discipline plus Ramirez danger, and Urena’s walk risk keeps this out of the elite tier.",,,,,,,
NRFI Top 10,7,MIA @ MIN,Eury Perez vs Bailey Ober,55%,"Pitchers are good enough, but this is fragile: Miami’s top three are all high-contact/high-wOBA bats and Target Field shows 30 mph wind with direction unavailable. Only a lean if wind is not blowing out.",,,,,,,
NRFI Top 10,8,SD @ MIL,Bradgley Rodriguez vs Brandon Sproat,54%,Roof helps and SD’s top three are cold/sub-.300 wOBA. Downgrade from Brewers’ Turang/Chourio/Yelich form and uncertainty around SD’s starter situation.,,,,,,,
NRFI Top 10,9,PHI @ BOS,Zack Wheeler vs Jovani Moran,52%,"Wheeler can blank Boston’s top, but Moran vs Turner/Schwarber/Harper at Fenway is a major YRFI threat. Weather/park are not friendly enough for high confidence.",,,,,,,
NRFI Top 10,10,WAS @ CIN,Miles Mikolas vs Brady Singer,51%,"Top-order profiles are not dominant outside James Wood/Elly De La Cruz, but Great American Ball Park, 76°F, and contact-oriented starters make this thin.",,,,,,,
Pitcher Props,Rank,Player & Prop,Calculated Likelihood,Technical Reasoning,,,,,,,,
