date,pick_id,type,matchup,pick,player,market,line,confidence,reasoning,model_version,actual,result,grade_notes,result_notes
2026-06-08,2026-06-08-fi-01,NRFI,SEA @ BAL,YRFI,,FIRST_INNING_RUNS,,54,"Camden, 78°F, 13 mph wind, and both top threes having OBP/power paths make first-inning scoring slightly more likely than a clean NRFI.",ace_logic_v5,0,LOSS,YRFI side lost,No first-inning runs; SEA @ BAL YRFI lost.
2026-06-08,2026-06-08-fi-02,NRFI,NYY @ CLE,NRFI,,FIRST_INNING_RUNS,,53,"Gavin Williams is the anchor and the Yankees projected top lacks Judge, but 85°F and Cleveland top-order contact keep this low confidence.",ace_logic_v5,2,LOSS,NRFI lost: 2 first-inning runs,New York Yankees scored 2 in the first; NYY @ CLE NRFI lost.
2026-06-08,2026-06-08-fi-03,NRFI,BOS @ TB,NRFI,,FIRST_INNING_RUNS,,54,"Indoor setting and two left-handed starters support run suppression, but Tampa top three of Diaz/Aranda/Caminero caps confidence.",ace_logic_v5,1,LOSS,NRFI lost: 1 first-inning runs,Tampa Bay scored 1 in the first; BOS @ TB NRFI lost.
2026-06-08,2026-06-08-fi-04,NRFI,PHI @ TOR,YRFI,,FIRST_INNING_RUNS,,56,Patrick Corbin vs Turner/Schwarber/Harper and Toronto right-handed bats vs Sanchez create enough first-inning scoring risk to lean YRFI.,ace_logic_v5,0,LOSS,YRFI side lost,No first-inning runs; PHI @ TOR YRFI lost.
2026-06-08,2026-06-08-fi-05,NRFI,HOU @ LAA,YRFI,,FIRST_INNING_RUNS,,55,Yordan/Altuve/Pena and Trout/Neto give both sides first-inning paths despite playable starting pitching.,ace_logic_v5,0,LOSS,YRFI side lost,No first-inning runs; HOU @ LAA YRFI lost.
2026-06-08,2026-06-08-fi-06,NRFI,CIN @ SD,NRFI,,FIRST_INNING_RUNS,,58,"Petco, moderate weather, and Buehler/Abbott run-prevention profiles make this the cleaner NRFI side among late games.",ace_logic_v5,0,WIN,NRFI hit: no first-inning runs,No first-inning runs; CIN @ SD NRFI hit.
2026-06-08,2026-06-08-fi-07,NRFI,WSH @ SF,NRFI,,FIRST_INNING_RUNS,,60,"Oracle Park, 62°F, Logan Webb anchor, and a weak Washington lower-power top-three profile make this the top NRFI on the slate.",ace_logic_v5,0,WIN,NRFI hit: no first-inning runs,No first-inning runs; WSH @ SF NRFI hit.
2026-06-08,2026-06-08-fi-08,NRFI,MIL @ ATH,YRFI,,FIRST_INNING_RUNS,,62,"Las Vegas Ballpark, 87°F, 24 mph wind, and strong top-order bats make this the clearest YRFI environment.",ace_logic_v5,2,WIN,YRFI side hit,Both teams scored in the first; MIL @ ATH YRFI hit.
2026-06-08,2026-06-08-pitcher-01,PROP,NYY @ CLE,OVER,Gavin Williams,K,6.5,61,Yankees are lefty-heavy with several K pockets and no projected Judge. Williams has the best K-over blend of stuff and matchup on today’s board.,ace_logic_v5,5,LOSS,Actual 5 under line 6.5,"Gavin Williams recorded 5 strikeouts vs NYY, falling short of O 6.5 K."
2026-06-08,2026-06-08-pitcher-02,PROP,HOU @ LAA,OVER,Grayson Rodriguez,K,5.5,60,Houston has dangerous bats but enough swing-and-miss behind Alvarez/Altuve; Grayson has a normal starter workload path.,ace_logic_v5,6,WIN,Actual 6 over line 5.5,"Grayson Rodriguez recorded 6 strikeouts vs HOU, clearing O 5.5 K."
